xi,xj,LLM_model,prompt_id
The butterfly fluttered,"The butterfly fluttered in the air, and the wind blew in the air.",BLOOM,339
The river rushed,"The river rushed over and stopped, as it had stopped and flowed over again.",GPT-2,539
The car stopped,The car stopped and the driver got out and ran away.,OPT,355
With a snip,"With a snip of a pen, the world's most expensive watch is now yours
The world's most expensive watch is now yours.",OPT,653
The crowd cheered,The crowd cheered.,GPT-Neo,382
With each step,"With each step in the pipeline, another stage of the investigation is called.",GPT-2,665
The fish bit,The fish bit her head with a sledgehammer.,GPT-2,426
The elevator dinged,The elevator dinged abruptly.,GPT-2,411
The water splashed,The water splashed to the ground.,GPT-Neo,600
In the library,"In the library, I have a book called ""The Art of the Deal"" by Donald Trump.",OPT,184
The cat purred,The cat purred and rubbed against my leg.,Falcon-7B,359
The sweat dripped,The sweat dripped down my face as I ran.,Falcon-7B,575
The engine roared,The engine roared loudly before the engine was shut down by the blast of water and smoke.,GPT-2,412
She gazed at,"She gazed at the man with wide eyes that were filled with awe, and her hand went to her mouth.",GPT-Neo,246
As justice prevailed,"As justice prevailed in the case of the “Bombay High Court” on 23rd March 2017, the Supreme Court of India has also given a verdict in favour of the “Bombay High Court” on 27",Falcon-7B,10
The fire flickered,"The fire flickered and crackled, the flames dancing in the hearth.",Falcon-7B,422
"Quietly, he entered","Quietly, he entered and had seen his man in question, except for a small hole, and was on one side of the body rather by far, than in any place where his body might fit; or he asked him what lay nearest to",GPT-2,217
The dog barked,The dog barked at the boy's approach.,GPT-Neo,397
The baby cooed,The baby cooed and the mother smiled.,Falcon-7B,314
The ride began,"The ride began out of a pickup truck and sped along an uneven road, before turning south and turning east on Aventador Boulevard, heading south.",GPT-2,536
The art emerged,"The art emerged from the work of the late artist and sculptor, who was born in the city of Krakow in Poland in 1894.",OPT,310
She stepped back,"She stepped back, then her face was covered in blood.",GPT-2,271
In the cave,"In the cave, a series of two black boxes are located within the cave entrance.",GPT-2,157
With a shrug,"With a shrug of your shoulders, you step up beside Ludo, your eyes glued to your own body (you're not wearing a swim cap, and he doesn't seem to understand, but he still holds his glass and his hand in front of",GPT-2,647
In the temple,"In the temple of the great god Amun, Isis, goddess of life, is a statue, an incarnation of the eternal and unchanging life force.",GPT-Neo,209
The secret revealed,"The secret revealed to this writer has been a true gem – the hidden truth of the first-person shooter is that it can be played for hours on end, day after day, without ever really going stale.",GPT-Neo,546
The clock struck,"The clock struck at the same time as the
clock struck at the door of the house.",BLOOM,371
With a sigh,"With a sigh of relief, I finally got the green light on my new app.",GPT-Neo,648
The treasure revealed,"The treasure revealed by the ancient Egyptian pyramids is a treasure of knowledge, a treasure of wisdom, a treasure of wisdom that is not only a treasure of knowledge, but also a treasure of wisdom that is not only a treasure of knowledge, but also",BLOOM,591
He sat down,"He sat down with a smile on his face, a twinkle in his eyes.",GPT-Neo,128
As they admired,"As they admired the view of the city from the top of the hill, the two friends were talking about their lives.",Falcon-7B,22
The circuit connected,The circuit connected to the power supply is a power supply circuit.,OPT,367
In the study,In the study the children's first month of life were less likely to be diagnosed with an advanced form of epilepsy.,GPT-2,208
The cheese melted,The cheese melted and the cheese was ready to serve.,BLOOM,363
In the classroom,"In the classroom, the teacher is the one who is supposed to be teaching.",OPT,159
The fish bit,"The fish bit, and he bit me.",GPT-Neo,426
As they fished,"As they fished, they found a large number of small fish, including a large number of small fish, including a large number of small fish, including a large number of small fish, including a large number of small fish, including a large number",BLOOM,42
The muscles relaxed,The muscles relaxed and the pain subsided.,Falcon-7B,493
"Gently, she sketched","Gently, she sketched out the outline of the room, and then she drew the room.",OPT,100
As they watched,"As they watched the game, the two of them were so happy that they were so happy that they were so happy that they were so happy that they were so happy that they were so happy that they were so happy that they were so happy that they",BLOOM,66
With a gasp,"With a gasp, he jerked back in surprise.",GPT-Neo,637
The car honked,The car honked.,Falcon-7B,352
The sun rose,The sun rose at 3 o'clock so that my head was facing South of the house.,GPT-2,573
As they centered,As they centered on the “crisis” of the “crisis” of the “crisis” of the “crisis” of the “crisis” of the “crisis” of the “c,Falcon-7B,28
The curtain moved,"The curtain moved up and down, and the
sight of the great, tall, and powerful man was lost in the distance.",BLOOM,388
With a smile,"With a smile, my first reaction to a video released on YouTube has two parts.",GPT-Neo,649
The bird chirped,"The bird chirped, and the sun shone, and the wind blew, and the clouds rolled, and the grass grew, and the flowers bloomed, and the trees grew, and the birds sang, and the sun shone, and the wind blew",Falcon-7B,325
"Carefully, he placed","Carefully, he placed the two pieces of paper in the
pocket of his coat, and then, turning to the girl, he said, “You
are very kind, but I must tell you that I am not going to marry you",BLOOM,76
The vendor called,The vendor called for a full review report by the state Legislature.,GPT-2,594
"Carefully, she applied","Carefully, she applied for a job at New York University.",GPT-2,82
With a gasp,"With a gasp, his throat grew heavy with gasps and an exasperated sighing, he felt my voice.",GPT-2,637
The snow fell,The snow fell and the men were scattered among the snow which fell.,GPT-2,556
With a sprint,"With a sprint finish, the 2018 Tour de France has been won by the Frenchman Julian Alaphilippe.",Falcon-7B,656
Across the street,"Across the street, the police were on their way to the scene.",BLOOM,2
With a yawn,With a yawn.,OPT,663
As dawn broke,"As dawn broke, the sun was shining brightly on the horizon.",BLOOM,4
As they walked,"As they walked, the two men talked about the weather, the crops, the price of cattle, and the latest news from the capital.",Falcon-7B,65
In the lobby,"In the lobby, there is a button that says ""Join Game"" or something like that.",OPT,186
The clay formed,"The clay formed in the upper part of the basin was deposited in the late Miocene, and the clay was deposited in the upper part of the basin in the late Miocene.",BLOOM,369
With a taste,"With a taste for travel and a love of adventure, I've been lucky enough to have traveled to every continent, except Antarctica.",GPT-Neo,658
The line flew,"The line flew, with the wind pushing it back and forth like a knife.",GPT-Neo,477
The stars faded,The stars faded into the soft dark sky and the moonlight came stealing down around me.,GPT-Neo,564
The leaves drifted,"The leaves drifted down from the trees,
The wind blew them around,
The sun shone down on the ground,
The leaves were all around.",Falcon-7B,467
She walked towards,"She walked towards the nearest door, she thought for a moment, the room might hold something from the past.",GPT-2,279
As they laughed,"As they laughed and drank, the men had no such thoughts.",GPT-Neo,45
The snow fell,"The snow fell so fast, it was no wonder their feet started falling.",GPT-2,556
In the courtyard,"In the courtyard of the Vatican Bank headquarters, Pope Benedict XVI is surrounded by hundreds of well-wishers, some of whom he hasn't even met yet.",GPT-Neo,165
The ice melted,"The ice melted in the North Pole last night, as temperatures plummeted to minus 50 degrees Fahrenheit (-46 degrees Celsius), making it the coldest Christmas ever recorded.",GPT-Neo,452
As they smiled,"As they smiled and waved to the crowd, the 2012 Miss USA contestants were asked to name their favorite beauty product.",Falcon-7B,58
